abseil-cpp 20260817.0-2
accountsservice 26.27.3-1
acl 2.4.0-1
adw-gtk-theme-git 6.5.r4.g47922ed-1
adwaita-cursors 50.0-1
adwaita-fonts 50.0-1
adwaita-icon-theme 50.0-1
adwaita-icon-theme-legacy 46.2-3
alsa-card-profiles 1:1.6.8-1
alsa-lib 1.2.16.1-1
alsa-plugins 1:1.2.12-6
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.16.1-1
aom 3.15.0-1
appstream 1.2.0-1
appstream-qt 1.2.0-1
aquamarine 0.14.0-2
archlinux-keyring 20260727-1
at-spi2-core 2.60.6-1
atkmm 2.28.5-2
attica 6.29.0-1
attr 2.6.0-1
audit 4.2.1-1
aurorae 6.7.4-1
autoconf 2.73-1
automake 1.18.1-1
avahi 1:0.9rc5-1
awww 0.12.1-1
ayatana-ido 0.10.4-1
baloo 6.29.0-2
baloo-widgets 26.08.0-1
base 3-3
base-devel 1-2
bash 5.3.15-1
bc 1.08.2-1
binutils 2.47-4
bison 3.8.2-8
bluedevil 1:6.7.4-1
bluez 5.87-2
bluez-libs 5.87-2
bluez-qt 6.29.0-1
bluez-utils 5.87-2
boost-libs 1.92.0-1
brave-origin-bin 1:1.94.117-1
breeze 6.7.4-2
breeze-cursors 6.7.4-2
breeze-icons 6.29.0-1
breeze-plus 6.28.0-1
brightnessctl 0.5.1-3
brotli 1.2.0-1
btrfs-progs 7.1-1
bubblewrap 0.12.0-1
bzip2 1.0.8-6
ca-certificates 20240618-1
ca-certificates-mozilla 3.128-1
ca-certificates-utils 20240618-1
cairo 1.18.4-1
cairomm 1.14.6-1
cava 0.10.7-1
cfitsio 1:4.7.0-1
cifs-utils 7.5-1
clang 22.1.8-1
cli11 2.7.2-1
cliphist 1:0.7.0-2
cmake 4.4.3-1
compiler-rt 22.1.8-1
convertlit 1.8-13
coreutils 9.11-2
cpio 2.15-3
cppdap 1.58.0-3
cpptrace 1.0.4-2
cryptsetup 2.8.7-1
cups 2:2.4.19-1
cups-filters 2.0.1-2
cups-pk-helper 0.2.7-2
curl 8.21.0-1
darkly-bin 0.5.39-2
dart-sass 1.103.1-1
dav1d 1.5.4-1
db5.3 5.3.28-7
dbus 1.16.2-1
dbus-broker 37-3
dbus-broker-units 37-3
dbus-units 37-3
dconf 0.49.0-1
ddcutil 2.2.7-1
debugedit 5.3-2
default-cursors 3-1
desktop-file-utils 0.28-1
device-mapper 2.03.42-1
diffutils 3.12-2
dolphin 26.08.0-5
double-conversion 3.4.0-1
duktape 2.7.0-7
dunst 1.13.2-2
