adw-gtk-theme-git 6.5.r4.g47922ed-1
brave-origin-bin 1:1.94.117-1
breeze-plus 6.28.0-1
darkly-bin 0.5.39-2
html2markdown 2.5.2-1
html2markdown-debug 2.5.2-1
illogical-impulse-audio 1.0-3
illogical-impulse-backlight 1.0-2
illogical-impulse-basic 1.0-3
illogical-impulse-bibata-modern-classic-bin 2.0.6-2
illogical-impulse-fonts-themes 1.0-6
illogical-impulse-hyprland 1.0-5
illogical-impulse-kde 1.0-3
illogical-impulse-microtex-git r494.0e3707f-4
illogical-impulse-microtex-git-debug r494.0e3707f-4
illogical-impulse-portal 1.0-3
illogical-impulse-python 1.1-5
illogical-impulse-screencapture 1.0-2
illogical-impulse-toolkit 1.0-3
illogical-impulse-widgets 1.0-7
laptop-mode-tools 1.74-1
mpvpaper 1.9-1
mpvpaper-debug 1.9-1
otf-space-grotesk 2-2
qt6-avif-image-plugin 0.10.1-1
spotify 1:1.2.96.518-2
ttf-material-symbols-variable-git 4.0.0.r169.g84ccef28-1
ttf-readex-pro 1.204-2
ttf-rubik-vf 2.3.0-3
ttf-twemoji 17.0.2-3
vesktop 1.6.7-1
vesktop-debug 1.6.7-1
vscodium-bin 1.126.04524-2
wlogout 1.2.2-0
wlogout-debug 1.2.2-0
yay 13.0.1-1
yay-debug 13.0.1-1
